Max pressure,Class ,Snow Depth
22.77,4,30
28.23,2,20
21.96,3,25
22.84,4,28
24.34,5,35
12.97,6,37
15.66,5,35
28.96,2,19
11.35,6,39
10,5,35
30,6,38
22.23,3,24
26.12,2,17
25.69,2,18
28.53,2,19
34.5,1,15
41.22,1,13
27.61,1,15
35.38,2,16
26.96,4,27
17.77,6,37
14.01,6,40
19.69,5,32
25.84,3,25
16.57,6,40
20.15,4,30
19.54,6,39
25.84,4,26
27.77,4,27
21.19,6,37
36.3,1,14
17.92,5,35
25.84,4,28
30.46,3,23
28.81,3,21
33.3,1,15
27.46,4,27
31.65,1,14
31.22,2,20
21.69,5,32
44.22,1,13
34.5,2,17
26.27,3,23
23.43,5,33
27.31,3,22
22.77,4,30
28.23,2,20
21.96,3,25
22.84,4,28
24.34,5,35
12.97,6,37
15.66,5,35
28.96,2,19
11.35,6,39
10,5,35
30,6,38
22.23,3,24
26.12,2,17
25.69,2,18
28.53,2,19
34.5,1,15
41.22,1,13
27.61,1,15
35.38,2,16
26.96,4,27
17.77,6,37
14.01,6,40
19.69,5,32
25.84,3,25
16.57,6,40
20.15,4,30
19.54,6,39
25.84,4,26
27.77,4,27
21.19,6,36
36.3,1,14
17.92,5,35
25.84,4,28
30.46,3,23
28.81,3,21
33.3,1,15
27.46,4,27
31.65,1,14
31.22,2,20
21.69,5,32
44.22,1,13
34.5,2,17
26.27,3,23
23.43,5,33
27.31,3,22
