Temperature,Max pressure,Min pressure,Class ,Snow Depth
15.43,22.77,1.86,4,30
15.45348837,28.23,1.47,2,20
15.52307692,21.96,2.35,3,25
15.53103448,22.84,1.9,4,28
15.59090909,24.34,1.4,5,35
16.60384615,12.97,0.58,6,37
16.56,15.66,1.01,5,35
16.3,28.96,1.5,2,19
15.71666667,11.35,0.55,6,39
15.68157895,10,0.35,5,35
17.42631579,30,2.36,6,38
,22.23,2.01,3,24
17.2,26.12,2,2,17
17.02931034,25.69,2.63,2,18
16.83636364,28.53,2.4,2,19
15.7,34.5,3.5,1,15
16.03421053,41.22,3.89,1,13
16.28571429,27.61,1.9,1,15
16.65882353,35.38,2.59,2,16
16.78214286,26.96,1.89,4,27
14.36875,17.77,0.89,6,37
14.52258065,14.01,0.65,6,40
14.475,19.69,1.36,5,32
9.94137931,25.84,2.78,3,25
14.60625,16.57,1.96,6,40
15.67361592,20.15,2.12,4,30
11.05294118,19.54,1.96,6,39
9.94137931,25.84,2.78,4,26
9.736363636,27.77,2.96,4,27
11.99756098,21.19,1.47,6,37
10.15660377,36.3,3.12,1,14
14.75590152,17.92,0.86,5,35
14.78235584,25.84,1.92,4,28
14.62391572,30.46,2.28,3,23
25.71777778,28.81,2.15,3,21
15.07473615,33.3,2.95,1,15
14.74806987,27.46,1.78,4,27
14.64590612,31.65,2.06,1,14
31.46818182,31.22,1.97,2,20
32.18181818,21.69,1.28,5,32
33.19069767,44.22,3.5,1,13
35.87407407,34.5,2.84,2,17
34.92244898,26.27,3.89,3,23
17.54792652,23.43,2.45,5,33
24.156,27.31,2.87,3,22
15.43,22.77,1.86,4,30
15.45348837,28.23,1.47,2,20
15.52307692,21.96,2.35,3,25
15.53103448,22.84,1.9,4,28
15.59090909,24.34,1.4,5,35
16.60384615,12.97,0.58,6,37
16.56,15.66,1.01,5,35
16.3,28.96,1.5,2,19
15.71666667,11.35,0.55,6,39
15.68157895,10,0.35,5,35
17.42631579,30,2.36,6,38
,22.23,2.01,3,24
17.2,26.12,2,2,17
17.02931034,25.69,2.63,2,18
16.83636364,28.53,2.4,2,19
15.7,34.5,3.5,1,15
16.03421053,41.22,3.89,1,13
16.28571429,27.61,1.9,1,15
16.65882353,35.38,2.59,2,16
16.78214286,26.96,1.89,4,27
14.36875,17.77,0.89,6,37
14.52258065,14.01,0.65,6,40
14.475,19.69,1.36,5,32
9.94137931,25.84,2.78,3,25
14.60625,16.57,1.96,6,40
15.67361592,20.15,2.12,4,30
11.05294118,19.54,1.96,6,39
9.94137931,25.84,2.78,4,26
9.736363636,27.77,2.96,4,27
11.99756098,21.19,1.47,6,36
10.15660377,36.3,3.12,1,14
14.75590152,17.92,0.86,5,35
14.78235584,25.84,1.92,4,28
14.62391572,30.46,2.28,3,23
25.71777778,28.81,2.15,3,21
15.07473615,33.3,2.95,1,15
14.74806987,27.46,1.78,4,27
14.64590612,31.65,2.06,1,14
31.46818182,31.22,1.97,2,20
32.18181818,21.69,1.28,5,32
33.19069767,44.22,3.5,1,13
35.87407407,34.5,2.84,2,17
34.92244898,26.27,3.89,3,23
17.54792652,23.43,2.45,5,33
24.156,27.31,2.87,3,22
