Location,Temperature,Rhumidity,SnowDensity,Maxpressure,Minpressure,Meanpressure,MinAmplitudeSound,MaxAmplitudeSound,MeanAmplitude,Class,SnowDepth
1,15.43,11.50333333,0.044833344,22.77,1.86,3.31,47.3097597,51.29332129,48.46409802,4,30
2,15.45348837,11.30232558,0.059056335,28.23,1.47,5.36,45.66602457,50.44888467,48.28235803,2,20
3,15.52307692,11.12307692,0.051450127,21.96,2.35,4.486666667,43.86249197,53.76839644,48.53522862,3,25
4,15.53103448,10.91724138,0.049139995,22.84,1.9,5.353947368,39.08485019,54.32006687,48.63404527,4,28
5,15.59090909,11.04090909,0.054595086,24.34,1.4,5.287727273,46.02059991,49.18784976,48.13544723,5,35
6,16.60384615,9.434615385,0.060251334,12.97,0.58,3.7748,46.3612667,54.2023473,48.92204067,6,37
7,16.56,9.593333333,0.05256323,15.66,1.01,3.625,42.73441134,51.26962171,48.63756358,5,35
8,16.3,9.841666667,0.044101039,28.96,1.5,8.532083333,48.29946696,54.37003378,48.85090182,2,19
9,15.71666667,10.05333333,0.05961923,11.35,0.55,6.089,45.43683213,51.12605002,48.04752065,6,39
10,15.68157895,10.18684211,0.053004938,10,0.35,7.656315789,48.23239412,49.15763793,48.66865886,5,35
11,17.42631579,8.226315789,0.048494869,30,2.36,13.12315789,47.00496037,49.96621108,48.52337381,6,38
12,17.32,8.288,0.052176736,22.23,2.01,2.985833333,45.80069223,50.7058824,48.08812102,3,24
13,17.2,8.485416667,0.059110899,26.12,2,3.03,47.85760137,54.46911344,47.85760137,2,17
14,17.02931034,8.689655172,0.0652746,25.69,2.63,6.403965517,46.72919468,51.5727842,48.65496383,2,18
15,16.83636364,8.781818182,0.058584405,28.53,2.4,4.481875,48.36602583,52.90844539,48.33904777,2,19
16,15.7,16.425,0.062251355,34.5,3.5,6.519473684,43.80663396,50.57833401,48.36777051,1,15
17,16.03421053,16.73421053,0.059460668,41.22,3.89,10.8025,44.45432942,50.90614233,48.35127898,1,13
18,16.28571429,16.96734694,0.055449055,27.61,1.9,4.96877551,46.92705949,50.47492934,48.62727528,1,15
19,16.65882353,17.28627451,0.069568982,35.38,2.59,8.469803922,47.56795802,54.11727425,48.58237379,2,16
20,16.78214286,17.55357143,0.058976174,26.96,1.89,5.236785714,44.81098497,49.30765703,48.32329658,4,27
21,14.36875,13.81875,0.05097547,17.77,0.89,5.871935484,46.27734441,50.15711743,48.22152725,6,37
22,14.52258065,14.19677419,0.069259786,14.01,0.65,8.361363636,45.52923608,51.61849951,48.65064017,6,40
23,14.475,14.30357143,0.054592326,19.69,1.36,4.075714286,47.12051714,49.85520778,48.3612885,5,32
24,9.94137931,16.35517241,0.064065302,25.84,2.78,6.931923077,47.3097597,49.03572871,48.45608843,3,25
25,14.60625,14.590625,0.057433059,16.57,1.96,7.352941176,46.06392115,49.71442853,49.06996419,6,40
26,15.67361592,12.89387098,0.066992353,20.15,2.12,5.035,46.40292572,49.96621108,48.50641967,4,30
27,11.05294118,19.17647059,0.070480712,19.54,1.96,4.03047619,46.92705949,50.0485424,48.87196441,6,39
28,9.94137931,16.35517241,0.075396127,25.84,2.78,7.361612903,47.3097597,49.0663668,48.34675477,4,26
29,9.736363636,14.13030303,0.089895721,27.77,2.96,5.7828125,47.74779653,54.6317753,49.24702393,4,27
30,11.99756098,8.87804878,0.079722292,21.19,1.47,4.445238095,45.05706062,52.50624902,49.26861607,6,37
31,10.15660377,11.44528302,0.110647809,36.3,3.12,4.354814815,48.19866247,49.82723388,49.29332296,1,14
32,14.75590152,12.82820712,0.065637782,17.92,0.86,4.113809524,47.74779653,54.59948571,49.50511986,5,35
33,14.78235584,12.76940953,0.060513971,25.84,1.92,7.361612903,47.3097597,49.0663668,48.95705549,4,28
34,14.62391572,13.09870935,0.057537245,30.46,2.28,15.47105263,47.74779653,50.62957834,48.90388751,3,23
35,25.71777778,14.77777778,0.060366735,28.81,2.15,6.256756757,43.52182518,50.7563819,49.20006792,3,21
36,15.07473615,13.0302602,0.101622246,33.3,2.95,4.87725,47.85393907,49.99374165,49.20216364,1,15
37,14.74806987,13.8988208,0.078444037,27.46,1.78,7.077391304,47.99347443,51.36403448,49.35409195,4,27
38,14.64590612,14.12437931,0.09209608,31.65,2.06,4.479545455,47.56795802,51.1981325,48.98816534,1,14
39,31.46818182,9.75,0.060602313,31.22,1.97,5.237083333,48.06241042,50.90614233,49.92821349,2,20
40,32.18181818,8.609090909,0.060293117,21.69,1.28,5.382692308,48.13080361,50.62957834,49.17740371,5,32
41,33.19069767,8.004651163,0.076347498,44.22,3.5,6.379038462,47.38431715,53.1027687,49.14482431,1,13
42,35.87407407,6.744444444,0.086574733,34.5,2.84,5.957142857,47.60422483,52.48564192,49.13165819,2,17
43,34.92244898,7.275510204,0.075820107,26.27,3.89,4.401034483,42.41147862,50.88136089,48.60506072,3,23
44,17.54792652,12.41391088,0.030732156,23.43,2.45,7.1025,47.67630732,51.43417664,49.6085235,5,33
45,24.156,16.796,0.073785283,27.31,2.87,8.450344828,43.28705712,50.47492934,48.95705549,3,22
46,15.43,11.50333333,0.044833344,22.77,1.86,3.31,47.3097597,51.29332129,48.46409802,4,30
47,15.45348837,11.30232558,0.059056335,28.23,1.47,5.36,45.66602457,50.44888467,48.28235803,2,20
48,15.52307692,11.12307692,0.051450127,21.96,2.35,4.486666667,43.86249197,53.76839644,48.53522862,3,25
49,15.53103448,10.91724138,0.049139995,22.84,1.9,5.353947368,39.08485019,54.32006687,48.63404527,4,28
50,15.59090909,11.04090909,0.054595086,24.34,1.4,5.287727273,46.02059991,49.18784976,48.13544723,5,35
51,16.60384615,9.434615385,0.060251334,12.97,0.58,3.7748,46.3612667,54.2023473,48.92204067,6,37
52,16.56,9.593333333,0.05256323,15.66,1.01,3.625,42.73441134,51.26962171,48.63756358,5,35
